source_node,target_node,source_type,target_type,weight
AAPL,AI,ticker,keyword,4
AAPL,CALL,ticker,keyword,29
AAPL,DIP,ticker,keyword,8
AAPL,EARNINGS,ticker,keyword,35
AAPL,EV,ticker,keyword,17
AAPL,FED,ticker,keyword,6
AAPL,HODL,ticker,keyword,0
AAPL,INFLATION,ticker,keyword,8
AAPL,MOON,ticker,keyword,8
AAPL,PUT,ticker,keyword,36
AMZN,AI,ticker,keyword,3
AMZN,CALL,ticker,keyword,40
AMZN,DIP,ticker,keyword,12
AMZN,EARNINGS,ticker,keyword,62
AMZN,EV,ticker,keyword,8
AMZN,FED,ticker,keyword,4
AMZN,INFLATION,ticker,keyword,7
AMZN,MOON,ticker,keyword,17
AMZN,PUT,ticker,keyword,46
JPM,AI,ticker,keyword,0
JPM,CALL,ticker,keyword,23
JPM,DIP,ticker,keyword,3
JPM,EARNINGS,ticker,keyword,8
JPM,EV,ticker,keyword,0
JPM,FED,ticker,keyword,8
JPM,HODL,ticker,keyword,1
JPM,INFLATION,ticker,keyword,10
JPM,MOON,ticker,keyword,4
JPM,PUT,ticker,keyword,17
MSFT,AI,ticker,keyword,4
MSFT,CALL,ticker,keyword,14
MSFT,DIP,ticker,keyword,4
MSFT,EARNINGS,ticker,keyword,27
MSFT,EV,ticker,keyword,7
MSFT,FED,ticker,keyword,2
MSFT,INFLATION,ticker,keyword,4
MSFT,MOON,ticker,keyword,4
MSFT,PUT,ticker,keyword,15
NVDA,AI,ticker,keyword,9
NVDA,CALL,ticker,keyword,10
NVDA,DIP,ticker,keyword,5
NVDA,EARNINGS,ticker,keyword,19
NVDA,EV,ticker,keyword,7
NVDA,FED,ticker,keyword,2
NVDA,HODL,ticker,keyword,0
NVDA,INFLATION,ticker,keyword,1
NVDA,MOON,ticker,keyword,5
NVDA,PUT,ticker,keyword,17
TSLA,AI,ticker,keyword,17
TSLA,CALL,ticker,keyword,87
TSLA,DIP,ticker,keyword,27
TSLA,EARNINGS,ticker,keyword,92
TSLA,EV,ticker,keyword,91
TSLA,FED,ticker,keyword,17
TSLA,HODL,ticker,keyword,2
TSLA,INFLATION,ticker,keyword,19
TSLA,MOON,ticker,keyword,40
TSLA,PUT,ticker,keyword,100
XOM,CALL,ticker,keyword,2
XOM,EARNINGS,ticker,keyword,3
XOM,EV,ticker,keyword,0
XOM,FED,ticker,keyword,0
XOM,INFLATION,ticker,keyword,0
XOM,MOON,ticker,keyword,1
XOM,PUT,ticker,keyword,4
