date,ticker,sentiment_score,message_volume,group,retail_sentiment,news_sentiment
2021-01-28,AAPL,-0.2857142857142857,7,High-Growth Tech,-0.2857142857142857,0
2021-01-28,AMZN,0.0,1,High-Growth Tech,0.0,0
2021-01-28,JPM,0.0,2,Traditional Value,0.0,0
2021-01-28,TSLA,0.0,5,High-Growth Tech,0.0,0
2021-01-29,AAPL,-0.21951219512195122,41,High-Growth Tech,-0.21951219512195122,0
2021-01-29,AMZN,0.2727272727272727,11,High-Growth Tech,0.2727272727272727,0
2021-01-29,JPM,-0.02857142857142857,35,Traditional Value,-0.02857142857142857,0
2021-01-29,MSFT,0.14285714285714285,7,High-Growth Tech,0.14285714285714285,0
2021-01-29,TSLA,0.022222222222222223,45,High-Growth Tech,0.022222222222222223,0
2021-01-29,XOM,0.0,1,Traditional Value,0.0,0
2021-01-30,AAPL,-0.375,8,High-Growth Tech,-0.375,0
2021-01-30,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-01-30,JPM,-0.4,5,Traditional Value,-0.4,0
2021-01-30,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-01-30,TSLA,-0.20833333333333334,24,High-Growth Tech,-0.20833333333333334,0
2021-01-31,AAPL,0.125,8,High-Growth Tech,0.125,0
2021-01-31,AMZN,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-01-31,JPM,-0.25,8,Traditional Value,-0.25,0
2021-01-31,MSFT,0.0,3,High-Growth Tech,0.0,0
2021-01-31,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-01-31,TSLA,-0.06666666666666667,15,High-Growth Tech,-0.06666666666666667,0
2021-02-01,AAPL,0.25,4,High-Growth Tech,0.25,0
2021-02-01,AMZN,0.0,3,High-Growth Tech,0.0,0
2021-02-01,JPM,-0.16666666666666666,6,Traditional Value,-0.16666666666666666,0
2021-02-01,MSFT,-0.3333333333333333,3,High-Growth Tech,-0.3333333333333333,0
2021-02-01,TSLA,-0.14285714285714285,7,High-Growth Tech,-0.14285714285714285,0
2021-02-02,AAPL,-0.25,4,High-Growth Tech,-0.25,0
2021-02-02,AMZN,0.0,6,High-Growth Tech,0.0,0
2021-02-02,JPM,0.0,2,Traditional Value,0.0,0
2021-02-02,MSFT,-1.0,1,High-Growth Tech,-1.0,0
2021-02-02,NVDA,1.0,1,High-Growth Tech,1.0,0
2021-02-02,TSLA,-0.25,12,High-Growth Tech,-0.25,0
2021-02-03,AAPL,0.5,4,High-Growth Tech,0.5,0
2021-02-03,AMZN,-0.18181818181818182,11,High-Growth Tech,-0.18181818181818182,0
2021-02-03,JPM,0.0,6,Traditional Value,0.0,0
2021-02-03,MSFT,0.3333333333333333,3,High-Growth Tech,0.3333333333333333,0
2021-02-03,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-02-03,TSLA,0.0,19,High-Growth Tech,0.0,0
2021-02-03,XOM,-0.5,2,Traditional Value,-0.5,0
2021-02-04,AAPL,0.0,11,High-Growth Tech,0.0,0
2021-02-04,AMZN,-0.15384615384615385,13,High-Growth Tech,-0.15384615384615385,0
2021-02-04,JPM,-0.3333333333333333,3,Traditional Value,-0.3333333333333333,0
2021-02-04,MSFT,0.0,5,High-Growth Tech,0.0,0
2021-02-04,TSLA,0.125,8,High-Growth Tech,0.125,0
2021-02-05,AAPL,0.0,6,High-Growth Tech,0.0,0
2021-02-05,AMZN,0.0,17,High-Growth Tech,0.0,0
2021-02-05,JPM,0.0,2,Traditional Value,0.0,0
2021-02-05,MSFT,0.2222222222222222,9,High-Growth Tech,0.2222222222222222,0
2021-02-05,TSLA,-0.125,24,High-Growth Tech,-0.125,0
2021-02-06,AAPL,-0.2857142857142857,7,High-Growth Tech,-0.2857142857142857,0
2021-02-06,AMZN,0.2222222222222222,9,High-Growth Tech,0.2222222222222222,0
2021-02-06,JPM,0.0,3,Traditional Value,0.0,0
2021-02-06,MSFT,-0.25,4,High-Growth Tech,-0.25,0
2021-02-06,NVDA,0.25,4,High-Growth Tech,0.25,0
2021-02-06,TSLA,-0.05263157894736842,19,High-Growth Tech,-0.05263157894736842,0
2021-02-06,XOM,-1.0,1,Traditional Value,-1.0,0
2021-02-07,AAPL,-1.0,1,High-Growth Tech,-1.0,0
2021-02-07,AMZN,0.0,4,High-Growth Tech,0.0,0
2021-02-07,MSFT,0.0,2,High-Growth Tech,0.0,0
2021-02-07,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-02-07,TSLA,-0.07692307692307693,13,High-Growth Tech,-0.07692307692307693,0
2021-02-08,AAPL,0.0,3,High-Growth Tech,0.0,0
2021-02-08,AMZN,0.16666666666666666,6,High-Growth Tech,0.16666666666666666,0
2021-02-08,JPM,-1.0,1,Traditional Value,-1.0,0
2021-02-08,MSFT,0.0,1,High-Growth Tech,0.0,0
2021-02-08,NVDA,0.0,1,High-Growth Tech,0.0,0
2021-02-08,TSLA,0.16666666666666666,6,High-Growth Tech,0.16666666666666666,0
2021-02-09,AAPL,0.0,1,High-Growth Tech,0.0,0
2021-02-09,AMZN,0.0,3,High-Growth Tech,0.0,0
2021-02-09,JPM,0.0,1,Traditional Value,0.0,0
2021-02-09,NVDA,-1.0,1,High-Growth Tech,-1.0,0
2021-02-09,TSLA,-0.25,4,High-Growth Tech,-0.25,0
2021-02-09,XOM,0.0,1,Traditional Value,0.0,0
2021-02-10,AAPL,0.0,2,High-Growth Tech,0.0,0
2021-02-10,AMZN,0.0,2,High-Growth Tech,0.0,0
2021-02-10,JPM,0.0,1,Traditional Value,0.0,0
