date,ticker,group,close,volume
2020-09-29,NVDA,High-Growth Tech,13.18,621460000
2020-09-30,NVDA,High-Growth Tech,13.49,689184000
2020-10-01,NVDA,High-Growth Tech,13.57,525004000
2020-10-02,NVDA,High-Growth Tech,13.02,552496000
2020-10-05,NVDA,High-Growth Tech,13.6,479820000
2020-10-06,NVDA,High-Growth Tech,13.69,784420000
2020-10-07,NVDA,High-Growth Tech,13.92,418084000
2020-10-08,NVDA,High-Growth Tech,13.8,378900000
2020-10-09,NVDA,High-Growth Tech,13.72,346892000
2020-10-12,NVDA,High-Growth Tech,14.18,434744000
2020-10-13,NVDA,High-Growth Tech,14.2,344604000
2020-10-14,NVDA,High-Growth Tech,14.05,276100000
2020-10-15,NVDA,High-Growth Tech,13.93,267224000
2020-10-16,NVDA,High-Growth Tech,13.77,242392000
2020-10-19,NVDA,High-Growth Tech,13.46,298068000
2020-10-20,NVDA,High-Growth Tech,13.6,229212000
2020-10-21,NVDA,High-Growth Tech,13.48,219596000
2020-10-22,NVDA,High-Growth Tech,13.32,290480000
2020-10-23,NVDA,High-Growth Tech,13.55,233484000
2020-10-26,NVDA,High-Growth Tech,13.1,336896000
2020-10-27,NVDA,High-Growth Tech,13.35,250520000
2020-10-28,NVDA,High-Growth Tech,12.59,376520000
2020-10-29,NVDA,High-Growth Tech,12.98,320080000
2020-10-30,NVDA,High-Growth Tech,12.49,416820000
2020-11-02,NVDA,High-Growth Tech,12.54,299652000
2020-11-03,NVDA,High-Growth Tech,12.98,272900000
2020-11-04,NVDA,High-Growth Tech,13.75,410228000
2020-11-05,NVDA,High-Growth Tech,14.12,319028000
2020-11-06,NVDA,High-Growth Tech,14.52,383348000
2020-11-09,NVDA,High-Growth Tech,13.59,582976000
2020-11-10,NVDA,High-Growth Tech,12.73,644068000
2020-11-11,NVDA,High-Growth Tech,13.38,404744000
2020-11-12,NVDA,High-Growth Tech,13.41,365812000
2020-11-13,NVDA,High-Growth Tech,13.26,346312000
2020-11-16,NVDA,High-Growth Tech,13.47,413776000
2020-11-17,NVDA,High-Growth Tech,13.38,312028000
2020-11-18,NVDA,High-Growth Tech,13.39,510924000
2020-11-19,NVDA,High-Growth Tech,13.4,565936000
2020-11-20,NVDA,High-Growth Tech,13.05,341088000
2020-11-23,NVDA,High-Growth Tech,13.1,361356000
2020-11-24,NVDA,High-Growth Tech,12.92,346500000
2020-11-25,NVDA,High-Growth Tech,13.19,259916000
2020-11-27,NVDA,High-Growth Tech,13.22,167276000
2020-11-30,NVDA,High-Growth Tech,13.36,286952000
2020-12-01,NVDA,High-Growth Tech,13.35,296948000
2020-12-02,NVDA,High-Growth Tech,13.5,283360000
2020-12-03,NVDA,High-Growth Tech,13.36,199520000
2020-12-04,NVDA,High-Growth Tech,13.52,202244000
2020-12-07,NVDA,High-Growth Tech,13.57,223244000
2020-12-08,NVDA,High-Growth Tech,13.31,271920000
2020-12-09,NVDA,High-Growth Tech,12.89,401300000
2020-12-10,NVDA,High-Growth Tech,12.94,207764000
2020-12-11,NVDA,High-Growth Tech,12.98,209264000
2020-12-14,NVDA,High-Growth Tech,13.27,270156000
2020-12-15,NVDA,High-Growth Tech,13.32,193016000
2020-12-16,NVDA,High-Growth Tech,13.2,223116000
2020-12-17,NVDA,High-Growth Tech,13.3,231384000
2020-12-18,NVDA,High-Growth Tech,13.23,342064000
2020-12-21,NVDA,High-Growth Tech,13.29,302332000
2020-12-22,NVDA,High-Growth Tech,13.24,185580000
2020-12-23,NVDA,High-Growth Tech,12.97,179144000
2020-12-24,NVDA,High-Growth Tech,12.96,97884000
2020-12-28,NVDA,High-Growth Tech,12.86,212564000
2020-12-29,NVDA,High-Growth Tech,12.91,170372000
2020-12-30,NVDA,High-Growth Tech,13.11,225396000
2020-12-31,NVDA,High-Growth Tech,13.02,192424000
2021-01-04,NVDA,High-Growth Tech,13.08,560640000
2021-01-05,NVDA,High-Growth Tech,13.37,322760000
2021-01-06,NVDA,High-Growth Tech,12.58,580424000
2021-01-07,NVDA,High-Growth Tech,13.31,461480000
2021-01-08,NVDA,High-Growth Tech,13.24,292528000
2021-01-11,NVDA,High-Growth Tech,13.58,518344000
2021-01-12,NVDA,High-Growth Tech,13.45,291476000
2021-01-13,NVDA,High-Growth Tech,13.49,210028000
2021-01-14,NVDA,High-Growth Tech,13.16,283120000
2021-01-15,NVDA,High-Growth Tech,12.82,277780000
2021-01-19,NVDA,High-Growth Tech,12.99,226188000
2021-01-20,NVDA,High-Growth Tech,13.33,258572000
2021-01-21,NVDA,High-Growth Tech,13.83,337780000
2021-01-22,NVDA,High-Growth Tech,13.67,246820000
2021-01-25,NVDA,High-Growth Tech,13.61,251112000
2021-01-26,NVDA,High-Growth Tech,13.4,163980000
2021-01-27,NVDA,High-Growth Tech,12.88,371272000
2021-01-28,NVDA,High-Growth Tech,13.01,228316000
2021-01-29,NVDA,High-Growth Tech,12.95,271552000
2021-02-01,NVDA,High-Growth Tech,13.2,217204000
2021-02-02,NVDA,High-Growth Tech,13.52,220440000
2021-02-03,NVDA,High-Growth Tech,13.49,245408000
2021-02-04,NVDA,High-Growth Tech,13.63,201340000
2021-02-05,NVDA,High-Growth Tech,13.55,169152000
2021-02-08,NVDA,High-Growth Tech,14.4,434624000
2021-02-09,NVDA,High-Growth Tech,14.22,287560000
2021-02-10,NVDA,High-Growth Tech,14.72,485352000
2021-02-11,NVDA,High-Growth Tech,15.21,450828000
2021-02-12,NVDA,High-Growth Tech,14.92,374756000
2021-02-16,NVDA,High-Growth Tech,15.29,321960000
2021-02-17,NVDA,High-Growth Tech,14.86,274756000
2021-02-18,NVDA,High-Growth Tech,14.79,233868000
2021-02-19,NVDA,High-Growth Tech,14.88,271724000
2021-02-22,NVDA,High-Growth Tech,14.31,325884000
2021-02-23,NVDA,High-Growth Tech,14.1,391780000
2021-02-24,NVDA,High-Growth Tech,14.46,448320000
2021-02-25,NVDA,High-Growth Tech,13.27,824436000
2021-02-26,NVDA,High-Growth Tech,13.68,500932000
2021-03-01,NVDA,High-Growth Tech,13.8,353184000
2021-03-02,NVDA,High-Growth Tech,13.37,264116000
2021-03-03,NVDA,High-Growth Tech,12.77,377592000
2021-03-04,NVDA,High-Growth Tech,12.33,573344000
2021-03-05,NVDA,High-Growth Tech,12.43,542840000
2021-03-08,NVDA,High-Growth Tech,11.56,543112000
2021-03-09,NVDA,High-Growth Tech,12.49,521824000
2021-03-10,NVDA,High-Growth Tech,12.44,384376000
2021-03-11,NVDA,High-Growth Tech,12.96,299916000
2021-03-12,NVDA,High-Growth Tech,12.82,243964000
2021-03-15,NVDA,High-Growth Tech,13.16,221988000
2021-03-16,NVDA,High-Growth Tech,13.26,272128000
2021-03-17,NVDA,High-Growth Tech,13.31,243864000
2021-03-18,NVDA,High-Growth Tech,12.69,293896000
2021-03-19,NVDA,High-Growth Tech,12.81,299208000
2021-03-22,NVDA,High-Growth Tech,13.15,297804000
2021-03-23,NVDA,High-Growth Tech,13.04,222048000
2021-03-24,NVDA,High-Growth Tech,12.61,245840000
2021-03-25,NVDA,High-Growth Tech,12.5,295144000
2021-03-26,NVDA,High-Growth Tech,12.81,363968000
2021-03-29,NVDA,High-Growth Tech,12.92,273520000
2021-03-30,NVDA,High-Growth Tech,12.84,200204000
2021-03-31,NVDA,High-Growth Tech,13.31,314776000
2021-04-01,NVDA,High-Growth Tech,13.78,308276000
2021-04-05,NVDA,High-Growth Tech,13.95,255672000
2021-04-06,NVDA,High-Growth Tech,13.83,191744000
